id,title,source_type,publisher,date,url_or_path,evidence_grade,notes
SRC-ai-001,Scale YC company post,web,Y Combinator,待验证,https://www.ycombinator.com/blog/scale/,A,Scale AI 早期定位和 YC 背景
SRC-ai-002,Scale announces Series B funding,press release,GlobeNewswire,2018-08-07,https://www.globenewswire.com/news-release/2018/08/07/1548173/0/en/scale-announces-18-million-in-series-b-funding-led-by-index-ventures-with-accel-and-yc-joining-the-round.html,B,Series B 融资与训练数据定位
SRC-ai-003,Scale AI Series C,company blog,Scale AI,待验证,https://scale.com/blog/series-c,A,Scale 对 AI 数据瓶颈和独角兽融资的官方表述
SRC-ai-004,Scale AI breaking even after it scaled back hiring,media,CNBC,2020-12-01,https://www.cnbc.com/2020/12/01/scale-ai-breaking-even-after-it-scaled-back-hiring.html,B,Series D 后估值和经营状态二级来源
SRC-ai-005,Scale AI scores 325 million to grow AI solution,media,Futuriom,2021-04,https://www.futuriom.com/articles/news/scale-ai-scores-325-million-to-grow-ai-solution/2021/04,B,Series E 融资与估值二级来源
SRC-ai-006,Scale AI awarded 250M AI contract by Department of Defense,media,FedScoop,待验证,https://fedscoop.com/scale-ai-awarded-250m-ai-contract-by-department-of-defense/,B,美国国防部 BPA 合同二级来源
SRC-ai-007,Scale AI Series F,company blog,Scale AI,待验证,https://scale.com/blog/scale-ai-series-f,A,2024 Series F 融资和大模型客户/数据服务定位
SRC-ai-008,Scale AI announces next phase of company evolution,company blog,Scale AI,2025-06,https://scale.com/blog/scale-ai-announces-next-phase-of-company-evolution,A,Meta 投资和 Alexandr Wang 加入 Meta 的官方表述
SRC-ai-009,Customer trust and Scale Meta deal,company blog,Scale AI,2025-06,https://scale.com/blog/customer-trust-scale-meta-deal,A,Scale 对独立运营和客户数据隔离的官方说明
SRC-ai-010,Scale AI not winding down following Meta deal interim CEO says,media,CNBC,2025-06-18,https://www.cnbc.com/2025/06/18/scale-ai-not-winding-down-following-meta-deal-interim-ceo-says.html,B,Meta 交易后独立运营与临时 CEO 相关二级来源
SRC-ai-011,Meta restructures its AI unit under Superintelligence Labs,media,TechCrunch,2025-06-30,https://techcrunch.com/2025/06/30/meta-restructures-its-ai-unit-under-superintelligence-labs/,B,Alexandr Wang 加入 Meta 后组织调整二级来源
SRC-ai-012,Meta Scale AI deal analysis,media,Axios,2025-06-13,https://www.axios.com/2025/06/13/meta-scale-ai-deal,B,Meta 投资后中立性和客户信任风险二级来源
SRC-ai-013,海天瑞声官网,company website,海天瑞声,待验证,https://www.haitianruisheng.com/,A,AI 训练数据和大模型数据服务公开材料
SRC-ai-014,数据堂官网,company website,数据堂,待验证,https://www.datatang.com/,A,数据集和大模型数据服务公开材料
SRC-ai-015,数据堂关于我们,company website,数据堂,待验证,https://www.datatang.com/about-us,A,公司背景和训练数据服务公开材料
SRC-ai-016,Testin 云测官网,company website,Testin 云测,待验证,https://www.testin.cn/static/testin.html,A,AI 数据服务和测试服务公开材料
SRC-ai-017,标贝科技数据服务,company website,DataBaker 标贝科技,待验证,https://www.data-baker.com/data-overview.html,A,语音和多模态数据服务公开材料
SRC-ai-018,曼孚科技官网,company website,曼孚科技,待验证,https://www.mindflow.com.cn/,A,自动驾驶/CV 数据标注平台公开材料
SRC-ai-019,龙猫数据关于我们,company website,龙猫数据,待验证,https://new.longmaosoft.com/about,A,自动驾驶/CV/语音/NLU 数据服务公开材料
SRC-ai-020,龙猫数据 AutopilotGPT,company website,龙猫数据,待验证,https://www.longmaosoft.com/media/detail/63,A,自动驾驶自动标注能力公开材料
SRC-ai-021,GOMAX LAB 官网,company website,GOMAX LAB,待验证,https://www.gomaxai.cn/,A,专家数据和大模型评测公开材料
SRC-ai-022,Xpert Studio 官网,company website,Xpert Studio,待验证,https://xpertiise.com/,A,Agent/复杂任务专家数据公开材料
SRC-ai-023,Stardust AI smart education scenario,company website,Stardust AI,待验证,https://stardust.ai/en-US/scenario/smarteducation/,A,SFT/RLHF 和语料定制公开材料
SRC-ai-024,天衍奇点官网,company website,天衍奇点,待验证,https://infersingularity.com/,A,大模型数据工程和标注服务公开材料
SRC-ai-025,A Path Towards Autonomous Machine Intelligence,position paper,Yann LeCun / OpenReview,2022-06-27,https://openreview.net/forum?id=BZ5a1r-kVsf,S,JEPA/H-JEPA、世界模型、内在代价和可微规划路线原始愿景
SRC-ai-026,I-JEPA Meta AI blog,company blog,Meta AI,2023-06-13,https://ai.meta.com/blog/yann-lecun-ai-model-i-jepa/,A,Meta 对 I-JEPA 的官方说明，解释在抽象表示空间预测图像目标块
SRC-ai-027,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,paper,arXiv / ICCV 2023,2023-04-13,https://arxiv.org/abs/2301.08243,S,I-JEPA 原论文，说明 context block 预测 target block 表示和 multi-block masking
SRC-ai-028,V-JEPA Meta AI blog,company blog,Meta AI,2024-02-15,https://ai.meta.com/blog/v-jepa-yann-lecun-ai-model-video-joint-embedding-predictive-architecture/,A,Meta 对 V-JEPA 的官方说明，强调视频时空 masking、非生成式 latent prediction 和 frozen evaluation
SRC-ai-029,Revisiting Feature Prediction for Learning Visual Representations from Video,paper,arXiv,2024-02-15,https://arxiv.org/abs/2404.08471,S,V-JEPA 论文，视频 feature prediction 自监督表征学习
SRC-ai-030,V-JEPA 2 world model and physical reasoning benchmarks,company blog,Meta AI,2025-06-11,https://ai.meta.com/blog/v-jepa-2-world-model-benchmarks/,A,Meta 官方发布 V-JEPA 2、机器人规划结果和物理推理 benchmark
SRC-ai-031,V-JEPA 2 Self-Supervised Video Models Enable Understanding Prediction and Planning,paper,arXiv,2025-06-11,https://arxiv.org/abs/2506.09985,S,V-JEPA 2 技术报告，百万小时视频预训练、62 小时 DROID 机器人数据和 zero-shot Franka 规划
SRC-ai-032,LeWorldModel Stable End-to-End Joint-Embedding Predictive Architecture from Pixels,paper,arXiv,2026-06-03,https://arxiv.org/abs/2603.19312,S,2026 年 JEPA 式端到端像素世界模型后续研究，强调两项损失、单 GPU 和控制任务
SRC-ai-033,中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要,policy,新华社/中国政府网,2021-03-13,https://www.gov.cn/xinwen/2021-03/13/content_5592681.htm,S,国家中长期规划底座，明确人工智能、数字经济、科技自立自强等方向。
SRC-ai-034,国务院关于印发新一代人工智能发展规划的通知,policy,国务院/中国政府网,2017-07-20,https://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm,S,中国 AI 顶层规划，提出新一代人工智能发展目标和重点任务。
SRC-ai-035,2024年政府工作报告,policy,国务院/中国政府网,2024-03-12,https://www.gov.cn/yaowen/liebiao/202403/content_6939153.htm,S,政府工作报告提出深化大数据、人工智能等研发应用，开展人工智能+行动。
SRC-ai-036,生成式人工智能服务管理暂行办法,regulation,国家网信办等/中国政府网,2023-07-13,https://www.gov.cn/zhengce/zhengceku/202307/content_6891752.htm,S,中国生成式 AI 服务监管底座，涉及算法、数据、内容、安全评估和服务责任。
